Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2005/1 - elaborazione del 16-MAG-24
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;C;'ZONA CALVARIO, BORGO FONDURA, STRADA COLLA , SVINCOLO AUTOSTRADALE E VIA LITTARDI';C10;IM00001585;20;Abitazioni civili;N;3;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;C;'DA V. VERDI A STR. COLLA, VALLE DEL T. CARAMAGNA FINO A REG. PAGLIARE E FR. MASSABOVI';C11;IM00001605;20;Abitazioni civili;N;6;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;C;'V.S.AGATA, V.AMORETTI, ARGINE DX, REG.BAITE, STR.PRIV.POZZOLI';C2;IM00000013;20;Abitazioni civili;N;2;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;C;'V.ARTALLO, TERRE BIANCHE, TRAV.AURELIA E C.ROOSWELT, V. DELLE VALLI E STR. PACIALLA';C3;IM00000987;20;Abitazioni civili;N;3;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;C;'DA GARBELLA LUNGO LA V.AURELIA FINO AL CONFINE OVEST DEL COMUNE, FRAZ.POGGI';C4;IM00000988;20;Abitazioni civili;N;4;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;C;'A NORD FERROVIA- AD EST  V.F.R.CARLI-AD OVEST ARGINE DX E STRADE INTERNE A V. NAZIONALE E E VIADOTTO SULL'IMPERO';C5;IM00000989;20;Abitazioni civili;N;5;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;C;'FRAZ.DI PIANI, ARTALLO, CARAMAGNA, E FRAZIONI LIMITROFE';C6;IM00000995;21;Abitazioni di tipo economico;N;6;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;C;'ZONA CASCINE';C7;IM00001327;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;C;'ZONA CASCINE';C8;IM00001345;1;Ville e Villini;N;5;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;D;'PERIFERIA  EST DI ONEGLIA';D1;IM00000033;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;D;'ZONA BARDELLINI-CASON DELLA GUARDIA , FR. BORGO S. AGATA E ARTALLO';D2;IM00000021;1;Ville e Villini;N;6;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;D;'A MONTE DELLE FR. PIANI E CARAMAGNA E FR. POGGI';D3;IM00000990;1;Ville e Villini;N;6;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;D;'ZONE MOLINO DEI GIUSI E LAGONI, FINO A STR. SAVOIA E RIO OLIVETO';D4;IM00000991;1;Ville e Villini;N;5;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;D;'A NORD DI CASTELVECCHIO, ARGINE DX,  VIA NAZIONALE , FR. BORGO D'O. E COSTA D'O.';D7;IM00001608;21;Abitazioni di tipo economico;N;7;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;E;'SUBURBANA, FR. MOLTEDO E MONTEGRAZIE E TERRITORI CONFINE COMUNE';E1;IM00000994;21;Abitazioni di tipo economico;N;7;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;R;'LIMITE NORD OVEST DEL COMUNE - REGIONE AGRARIA N 5 (COLLINE LITORANEE DI IMPERIA)';R1;IM00001444;0;Non presente;;7;
NORD-OVEST;LIGURIA;IM;7008031;G2AA; ;E290;IMPERIA;R;'VALLONE R. SGORRETO - REGIONE AGRARIA N 5 (COLLINE LITORANEE DI IMPERIA)';R2;IM00001606;0;Non presente;;7;
NORD-OVEST;LIGURIA;IM;7008001;G2AB; ;A111;AIROLE;B;'CENTRO URBANO';B1;IM00000042;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008001;G2AB; ;A111;AIROLE;D;'INSEDIAMENTI SPARSI LUNGO LA STATALE DEL COLLE DI TENDA E LOC.COLLABASSA';D1;IM00000043;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008001;G2AB; ;A111;AIROLE;R;'RURALE -REGIONE AGRARIA N 2 (ALTE VALLI ARGENTINA E NERVIA)';R1;IM00001485;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008002;G2AC; ;A338;APRICALE;B;'CENTRO URBANO';B1;IM00000055;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008002;G2AC; ;A338;APRICALE;D;'INSEDIAMENTI SPARSI';D1;IM00000056;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008002;G2AC; ;A338;APRICALE;R;'RURALE -REGIONE AGRIARIA N 2 (ALTE VALLI ARGENTINA E NERVIA)';R1;IM00001486;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008003;G2AD; ;A344;AQUILA D`ARROSCIA;B;'CENTRO URBANO';B1;IM00000066;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008003;G2AD; ;A344;AQUILA D`ARROSCIA;D;'INSEDIAMENTI SPARSI';D1;IM00000067;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008003;G2AD; ;A344;AQUILA D`ARROSCIA;R;'RURALE- REGIONE AGRARIA N 1 (ALTE VALLI ARROSCIA)';R1;IM00001505;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008004;G2AE; ;A418;ARMO;B;'CENTRO URBANO';B1;IM00000077;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008004;G2AE; ;A418;ARMO;D;'INSEDIAMENTI SPARSI';D1;IM00000078;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008004;G2AE; ;A418;ARMO;R;'RURALE- REGIONE AGRARIA N 1 (ALTE VALLI ARROSCIA)';R1;IM00001525;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008005;G2AG; ;A499;AURIGO;B;'CENTRO URBANO';B1;IM00000088;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008005;G2AG; ;A499;AURIGO;D;'INSEDIAMENTI SPARSI';D1;IM00000089;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008005;G2AG; ;A499;AURIGO;R;'RURALE-REGIONE AGRARIA N 3 (COLLINE ALTO IMPERO)';R1;IM00001526;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008006;G2AH; ;A536;BADALUCCO;B;'CENTRO URBANO';B1;IM00000102;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008006;G2AH; ;A536;BADALUCCO;C;'SEMICENTRALE';C1;IM00000103;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008006;G2AH; ;A536;BADALUCCO;D;'INSEDIAMENTI SPARSI E PERIFERIA';D1;IM00000104;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008006;G2AH; ;A536;BADALUCCO;R;'RURALE -REGIONE AGRARIA N 2 (ALTE VALLI ARGENTINA E NERVIA)';R1;IM00001367;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008007;G2AI; ;A581;BAIARDO;B;'CENTRO URBANO';B1;IM00000114;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008007;G2AI; ;A581;BAIARDO;D;'INSEDIAMENTI SPARSI';D1;IM00000115;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008007;G2AI; ;A581;BAIARDO;R;'RURALE - REGIONE AGRARIA N 2 (ALTE VALLI ARGENTINA E NERVIA)';R1;IM00001368;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008008;G2AK; ;A984;BORDIGHERA;B;'CENTRO STORICO';B1;IM00000139;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008008;G2AK; ;A984;BORDIGHERA;B;'FASCIA LITORANEA DA OSPEDALETI A C. S. AMPELIO';B2;IM00000121;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008008;G2AK; ;A984;BORDIGHERA;B;'CENTRO URBANA DA V. ROMANA AL MARE DA C. S. AMPELIO A RIO BORGHETTO';B3;IM00000122;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008008;G2AK; ;A984;BORDIGHERA;C;'AD OVEST DI R. BORGHETTO DAL MARE A V. ROMANA';C1;IM00000140;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008008;G2AK; ;A984;BORDIGHERA;C;'ABITATO DI SASSO DI B.';C3;IM00000126;21;Abitazioni di tipo economico;N;2;
NORD-OVEST;LIGURIA;IM;7008008;G2AK; ;A984;BORDIGHERA;C;'DA V.ROMANA A V.DEI COLLI - V.DEGLI INGLESI';C4;IM00001246;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008008;G2AK; ;A984;BORDIGHERA;C;'TRATTI SUPERIORI V. MOSTACCHINI-V. DEI COLLI- V.DEGLI INGLESI E STR. SASSO D.B.';C5;IM00001286;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008008;G2AK; ;A984;BORDIGHERA;C;'ABITATO DI BORGHETTO S.NICOLO';C6;IM00001507;21;Abitazioni di tipo economico;N;2;
NORD-OVEST;LIGURIA;IM;7008008;G2AK; ;A984;BORDIGHERA;D;'PERIFERIA DI BORGHETTO S.N. E DI SASSO DI B. E ZONE AGRICOLE';D1;IM00000141;1;Ville e Villini;N;2;
NORD-OVEST;LIGURIA;IM;7008008;G2AK; ;A984;BORDIGHERA;E;'SUBURBANA LOC.MONTENERO E LOC.MORGHE';E1;IM00000986;1;Ville e Villini;N;3;
NORD-OVEST;LIGURIA;IM;7008008;G2AK; ;A984;BORDIGHERA;R;'LIMITE NORD EST DI COMUNE - REGIONE AGRARIA N 4 (COLLINE LITORANEE DI SANREMO)';R1;IM00001406;0;Non presente;;3;
NORD-OVEST;LIGURIA;IM;7008009;G2AL; ;A993;BORGHETTO D`ARROSCIA;B;'CENTRO URBANO';B1;IM00000150;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008009;G2AL; ;A993;BORGHETTO D`ARROSCIA;D;'FRAZIONI E INSEDIAMENTI SPERSI';D1;IM00000151;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008009;G2AL; ;A993;BORGHETTO D`ARROSCIA;R;'RURALE - REGIONE AGRARIA N 1 (ALTE VALLI ARROSCIA)';R1;IM00001383;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008010;G2AN; ;B020;BORGOMARO;B;'BORGOMARO - CANDEASCO E MARO CASTELLO';B1;IM00000161;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008010;G2AN; ;B020;BORGOMARO;D;'VILLE S.S. - VELLE S.P. E FRAZIONI CIRCOSTANTI';D1;IM00000162;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008010;G2AN; ;B020;BORGOMARO;D;'CONIO';D2;IM00001665;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008010;G2AN; ;B020;BORGOMARO;R;'RURALE - REGIONE AGRARIA N 3 (COLLINE ALTO IMPERIO)';R1;IM00001393;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008011;G2AS; ;B559;CAMPOROSSO;B;'DAL MARE AL PRIMO TRATTO DI V. BRAIE';B1;IM00000174;20;Abitazioni civili;N;3;
NORD-OVEST;LIGURIA;IM;7008011;G2AS; ;B559;CAMPOROSSO;B;'CENTRO STORICO-SEDE COMUNALE';B2;IM00000165;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008011;G2AS; ;B559;CAMPOROSSO;C;'LUNGO NERVIA E V. BRAIE FINO AL PONTE AMICIZIA E COLLINE LATERALI';C1;IM00000175;20;Abitazioni civili;N;2;
NORD-OVEST;LIGURIA;IM;7008011;G2AS; ;B559;CAMPOROSSO;C;'A MONTE DEL PONTE AMICIZIA FINO A CENTRO STORIC';C2;IM00000167;20;Abitazioni civili;N;2;
NORD-OVEST;LIGURIA;IM;7008011;G2AS; ;B559;CAMPOROSSO;D;'COLLINE CIRCOSTANTI IL CENTRO STORICO LOC. S.GIACOMO LOC. S.CROCE';D1;IM00000177;1;Ville e Villini;N;2;
NORD-OVEST;LIGURIA;IM;7008011;G2AS; ;B559;CAMPOROSSO;D;'PGR AGRICOLO';D2;IM00000170;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008011;G2AS; ;B559;CAMPOROSSO;R;'LIMITE NORD DI COMUNE - REGIONE AGRARIA N 4 (COLLINE LITORANEE DI SANREMO)';R1;IM00001425;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008012;G2AV; ;B734;CARAVONICA;B;'CARAVONICA';B1;IM00000187;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008012;G2AV; ;B734;CARAVONICA;D;'S. BARTOLOMEA D'A.';D1;IM00000188;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008012;G2AV; ;B734;CARAVONICA;R;'RURALE -REGIONE AGRARIA N 3 (COLLINE ALTO IMPERO)';R1;IM00001394;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008013;G2AW; ;B814;CARPASIO;B;'CARPASIO';B1;IM00000198;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008013;G2AW; ;B814;CARPASIO;D;'COSTA- ARZENE- GLORI E FRAZIONI SPARSE';D1;IM00000199;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008013;G2AW; ;B814;CARPASIO;R;'RURALE -REGIONE AGRARIA N 2 (ALTE VALLI ARGENTINA E NERVIA)';R1;IM00001369;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008015;G2AY; ;C110;CASTEL VITTORIO;B;'CENTRO URBANO';B1;IM00000209;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008015;G2AY; ;C110;CASTEL VITTORIO;D;'INSEDIAMENTI SPARSI';D1;IM00000210;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008015;G2AY; ;C110;CASTEL VITTORIO;R;'RURALE -REGIONE AGRARIA N 2 (ALTE VALLI ARGENTINA E NERVIA)';R1;IM00001370;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008014;G2AZ; ;C143;CASTELLARO;B;'CENTRO URBANO';B1;IM00000223;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008014;G2AZ; ;C143;CASTELLARO;C;'FASCIA COLLINARE DAL CONFINE INFERIORE DEL COMUNE AL CENTRO ABITATO E AD EST DI QUESTO';C1;IM00000224;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008014;G2AZ; ;C143;CASTELLARO;D;'INSEDIAMENTI SPARSI';D1;IM00000225;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008014;G2AZ; ;C143;CASTELLARO;R;'RURALE -REGIONE AGRARIA N 5 (COLLINE LITORANEE DI IMPERIA)';R1;IM00001437;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008016;G2BC; ;C511;CERIANA;B;'CENTRO URBANO';B1;IM00000236;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008016;G2BC; ;C511;CERIANA;B;'S.MARTA S.ANDREA CHIESA V.VISITAZIONE C.SO ITALIA';B2;IM00000228;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008016;G2BC; ;C511;CERIANA;D;'INSEDIAMENTI SPARSI- E E STRADA PROVINCIALE PER CERIANA';D1;IM00000237;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008016;G2BC; ;C511;CERIANA;R;'RURALE -REGIONE AGRARIA N 4 (COLLINE LITORANEE DI SANREMO)';R1;IM00001371;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008017;G2BD; ;C559;CERVO;B;'CENTRO STORICO';B1;IM00000258;20;Abitazioni civili;N;2;
NORD-OVEST;LIGURIA;IM;7008017;G2BD; ;C559;CERVO;B;'AREE DEGRADATE ZONA B1';B2;IM00000243;20;Abitazioni civili;N;2;
NORD-OVEST;LIGURIA;IM;7008017;G2BD; ;C559;CERVO;C;'FASCIA LITORANEA E INSEDIAMENTI ESTERNI AL CANTRO STORICO';C1;IM00000259;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008017;G2BD; ;C559;CERVO;C;'V.AURELIA E V.ROMANA';C2;IM00000247;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008017;G2BD; ;C559;CERVO;D;'PERIFERICA ESTENSIVA NUOVO - SEMINUOVO - ESTENSIVA SEMINUOVO - VECCHIO';D1;IM00000260;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008017;G2BD; ;C559;CERVO;R;'LIMITE INTERNO DI COMUNE - REGIONE AGRARIA N 5 (COLLINE LITORANEE DI IMPERIA)';R1;IM00001438;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008018;G2BE; ;C578;CESIO;B;'CENTRO URBANO';B1;IM00000269;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008018;G2BE; ;C578;CESIO;D;'ARZENO D'O.';D1;IM00000270;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008018;G2BE; ;C578;CESIO;D;'CARTARI';D2;IM00001685;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008018;G2BE; ;C578;CESIO;R;'RURALE -REGIONE AGRARIA N 3 (COLLINE ALTO IMPERO)';R1;IM00001395;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008019;G2BF; ;C657;CHIUSANICO;B;'CENTRO URBANO CHIUSANICO, TORRIA E GAZZELLI';B1;IM00000280;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008019;G2BF; ;C657;CHIUSANICO;D;'GARZI E STRADA S. 28 ZONA NORD';D1;IM00000281;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008019;G2BF; ;C657;CHIUSANICO;D;'S.STATALE 28 ZONA SUD';D2;IM00000275;8;Capannoni industriali;N;1;
NORD-OVEST;LIGURIA;IM;7008019;G2BF; ;C657;CHIUSANICO;R;'RURALE -REGIONE AGRARIA N 3 (COLLINE ALTO IMPERO)';R1;IM00001396;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008020;G2BG; ;C660;CHIUSAVECCHIA;B;'CHIUSAVECCHIA';B1;IM00000294;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008020;G2BG; ;C660;CHIUSAVECCHIA;D;'STRADA S.28, N.S. DELL`OLIVETO, OLIVASTRI E SAROLA';D1;IM00001725;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008020;G2BG; ;C660;CHIUSAVECCHIA;R;'LIMITE NORD DI COMUNE - REGIONE AGRARIA N 3 (COLLINE ALTO IMPERO)';R1;IM00001397;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008020;G2BG; ;C660;CHIUSAVECCHIA;R;'LIMITE SUD OVEST DI COMUNE - REGIONE AGRARIA N 3 (COLLINE DELL'ALTO IMPERO)';R2;IM00001705;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008021;G2BH; ;C718;CIPRESSA;B;'ABITATO DI CIPRESSA E LINGUEGLIETTA';B1;IM00000309;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008021;G2BH; ;C718;CIPRESSA;C;'V.S.ANTONIO, STR.S.LORENZO, LINGUEGLIETTA A VALLE DEL CENTRO ABITATO';C1;IM00000310;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008021;G2BH; ;C718;CIPRESSA;C;'FASCIA LITORANEA';C2;IM00001566;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008021;G2BH; ;C718;CIPRESSA;D;'INSEDIAMENTI SPARSI';D1;IM00000308;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008021;G2BH; ;C718;CIPRESSA;R;'RURALE - REGIONE AGRARIA N 5 (COLLINE LITORANEE DI IMPERIA)';R1;IM00001439;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008022;G2BI; ;C755;CIVEZZA;B;'CENTRO URBANO';B1;IM00000324;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008022;G2BI; ;C755;CIVEZZA;D;'INSEDIAMENTI SPARSI E PERIFERIA';D1;IM00000326;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008022;G2BI; ;C755;CIVEZZA;R;'RURALE - REGIONE AGRARIA N 5 (COLLINE LITORANEE DI IMPERIA)';R1;IM00001440;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008023;G2BL; ;D087;COSIO D`ARROSCIA;B;'CENTRO URBANO';B1;IM00000336;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008023;G2BL; ;D087;COSIO D`ARROSCIA;D;'INSEDIAMENTI SPARSI';D1;IM00000337;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008023;G2BL; ;D087;COSIO D`ARROSCIA;R;'RURALE - REGIONE AGRARIA N 1 (ALTE VALLI ARROSCIA)';R1;IM00001384;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008024;G2BN; ;D114;COSTARAINERA;B;'CENTRO URBANO';B1;IM00000350;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008024;G2BN; ;D114;COSTARAINERA;C;'LUNGO LA STR.S.LORENZO - LINGUEGLIETTA';C1;IM00000351;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008024;G2BN; ;D114;COSTARAINERA;C;'FASCIA COSTIERA';C2;IM00001565;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008024;G2BN; ;D114;COSTARAINERA;D;'INSEDIAMENTI SPARSI';D1;IM00000352;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008024;G2BN; ;D114;COSTARAINERA;R;'RURALE - REGIONE AGRARIA N 5 (COLLINE LITORANEE DI IMPERIA)';R1;IM00001441;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008025;G2BP; ;D293;DIANO ARENTINO;B;'ABITATO DI VILLA CHIESA,VILLA COSTA,VILLA BORGHETTO D.EVIGNO, BORELLO,ARENTINO';B1;IM00000365;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008025;G2BP; ;D293;DIANO ARENTINO;C;'SEMIPERIFERIA URBANA, BORGATA AIROLE, VILLAGGIO MEREA,BORGATA VILLATALLA';C1;IM00000366;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008025;G2BP; ;D293;DIANO ARENTINO;D;'INSEDIAMENTI SPARSI E PERIFERIA';D1;IM00000367;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008025;G2BP; ;D293;DIANO ARENTINO;R;'RURALE - REGIONE AGRARIA N 3 (COLLINE ALTO IMPERO)';R1;IM00001398;0;Non presente;;1;
NORD-OVEST;LIGURIA;IM;7008026;G2BS; ;D296;DIANO CASTELLO;B;'CENTRO ABITATO';B1;IM00000388;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008026;G2BS; ;D296;DIANO CASTELLO;B;'FASCIA PERIFERICA SUD - STR. DIANO M.- A VALLE BIVIO VARCAVELLO';B2;IM00000373;20;Abitazioni civili;N;2;
NORD-OVEST;LIGURIA;IM;7008026;G2BS; ;D296;DIANO CASTELLO;C;'PERIFERIA URBANA, FASCIA COLLINARE VERSO IL TORRENTE EVIGNO, VARCAVELLO E FRAZIONI LIMITROFE';C1;IM00000389;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008026;G2BS; ;D296;DIANO CASTELLO;C;'TERRITORI AD EST DEL TORRENTE EVIGNO';C2;IM00000377;1;Ville e Villini;N;2;
NORD-OVEST;LIGURIA;IM;7008026;G2BS; ;D296;DIANO CASTELLO;C;'STR.DIANO M. DIANO CASTELLO A MONTE BIVIO PER VARCAVELLO';C3;IM00001265;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008026;G2BS; ;D296;DIANO CASTELLO;D;'INSEDIAMENTI SPARSI, PIANO REGOLATORE AGRICOLO';D1;IM00000390;1;Ville e Villini;N;3;
NORD-OVEST;LIGURIA;IM;7008026;G2BS; ;D296;DIANO CASTELLO;R;'LIMITE OVEST DI COMUNE REGIONE AGRARIA 5 (COLLINE LITORANEE DI IMPERIA)';R1;IM00001443;0;Non presente;;3;
NORD-OVEST;LIGURIA;IM;7008027;G2BT; ;D297;DIANO MARINA;B;'A VALLE DEL TRACCIATO FERROVIARIO TRA S.ANNA E T.EVIGNO';B1;IM00000410;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008027;G2BT; ;D297;DIANO MARINA;B;'LOC.S.ANNA FINO ALLA V. AURELIA';B2;IM00000395;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008027;G2BT; ;D297;DIANO MARINA;C;'A MONTE DEL TRACCIATO FERROVIARIO AD EST DEL T.VARCAVELLO FINO AL LIMITE NORD DEL COMUNE';C1;IM00000411;20;Abitazioni civili;N;2;
NORD-OVEST;LIGURIA;IM;7008027;G2BT; ;D297;DIANO MARINA;C;'A MOMTE DELLA FERROVIA, DA V. CARRUBA A T. VARCAVELLO E ZONA CIAPASSO';C2;IM00000399;20;Abitazioni civili;N;1;
NORD-OVEST;LIGURIA;IM;7008027;G2BT; ;D297;DIANO MARINA;C;'AD EST T. EVIGNO DAL MARE ALLA FERROVIA';C3;IM00001266;20;Abitazioni civili;N;2;
NORD-OVEST;LIGURIA;IM;7008027;G2BT; ;D297;DIANO MARINA;D;'PRIMO PEDECOLLE DI CAPO BERTA DA STR. SAVOIA A STR. CARRUBA';D1;IM00000412;1;Ville e Villini;N;1;
NORD-OVEST;LIGURIA;IM;7008027;G2BT; ;D297;DIANO MARINA;D;'INSEDIAMENTI A NORD OVEST IN ZONE DI PRG AGRICOLE';D2;IM00000402;20;Abitazioni civili;N;3;
NORD-OVEST;LIGURIA;IM;7008027;G2BT; ;D297;DIANO MARINA;R;'LIMITE OVEST DEL COMUNE - REGIONE AGRARIA N 5 (COLLINE LITORANEE DI IMPERIA)';R1;IM00001442;0;Non presente;;3;
NORD-OVEST;LIGURIA;IM;7008028;G2BU; ;D298;DIANO SAN PIETRO;B;'CENTRO URBANO';B1;IM00000424;21;Abitazioni di tipo economico;N;1;
NORD-OVEST;LIGURIA;IM;7008028;G2BU; ;D298;DIANO SAN PIETRO;C;'SEMIPERIFERIA URBANA';C1;IM00000425;20;Abitazioni civili;N;1;
